symbol,sector,weight,rank,confidence,dollars,shares,price
M&M,Auto,0.152362968519347,0.8260869565217391,0.998536790312307,76181.4842596735,24,3097.5
BPCL,Energy,0.14763703148065294,0.782608695652174,0.99754456213374,73818.51574032647,245,300.45001220703125
WIPRO,IT,0.10283930496743555,1.0,0.997851598988013,51419.65248371778,256,200.6499938964844
TCS,IT,0.08860072048511534,0.9130434782608695,0.997086021232952,44300.360242557676,17,2473.89990234375
INFY,IT,0.08263012108162618,0.9565217391304348,0.997176995650632,41315.06054081309,34,1181.800048828125
HCLTECH,IT,0.07592985346582291,0.8478260869565217,0.9967714324379837,37964.92673291146,31,1199.0999755859375
ICICIBANK,Financials,0.0751417942874239,0.8913043478260869,0.9976056182371037,37570.897143711954,29,1263.4000244140625
KOTAKBANK,Financials,0.07363137350111083,0.8043478260869565,0.9990129145605001,36815.68675055542,96,383.29998779296875
HDFCLIFE,Financials,0.06949322576813138,0.9347826086956522,0.9963379286726993,34746.61288406569,59,586.9000244140625
BAJAJFINSV,Financials,0.06660304360894952,0.8695652173913043,0.9980911793315964,33301.52180447476,19,1747.199951171875
HDFCBANK,Financials,0.0651305628343844,0.9782608695652174,0.9972729104552136,32565.2814171922,42,771.7000122070312
